date,alt_cast_element_1,alt_cast_element_2,alt_cast_element_3,op_character_1,op_character_2,op_character_3,op_character_4,op_character_5,op_character_6,special_invite_1,special_invite_2,special_invite_3,special_invite_4
2026-02-01,Pyro,Hydro,Geo,Yoimiya,Gaming,Yelan,Barbara,Chiori,Yun Jin,Ineffa,Flins,Nefer,Lauma
2026-01-01,Pyro,Hydro,Electro,Mavuika,Yanfei,Sigewinne,Dahlia,Clorinde,Iansan,Xilonen,Xianyun,Venti,Collei
2025-12-01,Pyro,Cryo,Anemo,Klee,Bennett,Citlali,Diona,Chasca,Sucrose,Mualani,Albedo,Mona,Fischl
2025-11-01,Hydro,Electro,Dendro,Furina,Barbara,Cyno,Ororon,Alhaitham,Yaoyao,Arlecchino,Zhongli,Diona,Lynette
2025-10-01,Hydro,Electro,Geo,Yelan,Aino,Varesa,Iansan,Arataki Itto,Gorou,Lauma,Baizhu,Charlotte,Ifa
2025-09-01,Pyro,Hydro,Dendro,Hu Tao,Thoma,Nilou,Xingqiu,Baizhu,Collei,Chasca,Citlali,Ineffa,Iansan
2025-08-01,Electro,Cryo,Anemo,Yae Miko,Kuki Shinobu,Ganyu,Layla,Yumemizuki Mizuki,Sucrose,Neuvillette,Nahida,Xingqiu,Gaming
2025-07-01,Pyro,Hydro,Cryo,Lyney,Xiangling,Tartaglia,Dahlia,Wriothesley,Rosaria,Emilie,Kinich,Lan Yan,Noelle
2025-06-01,Electro,Cryo,Dendro,Cyno,Fischl,Qiqi,Mika,Nahida,Collei,Furina,Xingqiu,Dehya,Xiangling
2025-05-01,Hydro,Cryo,Geo,Neuvillette,Candace,Kamisato Ayaka,Charlotte,Albedo,Kachina,Venti,Hu Tao,Kuki Shinobu,Kaveh
2025-04-01,Pyro,Electro,Anemo,Yoimiya,Thoma,Clorinde,Beidou,Xiao,Sucrose,Xilonen,Alhaitham,Yaoyao,Mika
2025-03-01,Hydro,Electro,Cryo,Kamisato Ayato,Barbara,Raiden Shogun,Ororon,Eula,Layla,Yumemizuki Mizuki,Navia,Xinyan,Thoma
2025-02-01,Pyro,Hydro,Anemo,Hu Tao,Gaming,Mona,Xingqiu,Venti,Shikanoin Heizou,Clorinde,Ororon,Citlali,Yun Jin
2025-01-01,Pyro,Cryo,Geo,Diluc,Bennett,Ganyu,Kaeya,Navia,Noelle,Kamisato Ayato,Xianyun,Sayu,Fischl
2024-12-01,Hydro,Electro,Anemo,Sangonomiya Kokomi,Xingqiu,Raiden Shogun,Kujou Sara,Jean,Lynette,Lyney,Bennett,Zhongli,Collei
2024-11-01,Pyro,Electro,Dendro,Klee,Xinyan,Yae Miko,Dori,Tighnari,Kirara,Xilonen,Chiori,Xingqiu,Layla
2024-10-01,Pyro,Electro,Geo,Dehya,Chevreuse,Keqing,Fischl,Chiori,Ningguang,Kinich,Yelan,Venti,Sucrose
2024-09-01,Pyro,Hydro,Dendro,Dehya,Xiangling,Mualani,Candace,Emilie,Yaoyao,Kaedehara Kazuha,Kachina,Raiden Shogun,Clorinde
2024-08-01,Hydro,Cryo,Anemo,Furina,Barbara,Kamisato Ayaka,Diona,Xiao,Faruzan,Nahida,Emilie,Dehya,Xiangling
2024-07-01,Pyro,Electro,Anemo,Arlecchino,Thoma,Clorinde,Kuki Shinobu,Wanderer,Faruzan,Baizhu,Sigewinne,Alhaitham,Wriothesley
